Relative Time (s);Temperature (C);Humidity (%)
0;22.28;62.60
0;22.30;62.57
1;22.29;62.52
1;22.28;62.57
2;22.29;62.51
2;22.26;62.55
3;22.29;62.50
3;22.29;62.46
4;22.28;62.47
4;22.28;62.50
5;22.29;62.46
5;22.30;62.47
6;22.29;62.47
7;22.28;62.47
7;22.29;62.50
8;22.30;62.51
8;22.29;62.53
9;22.29;62.51
9;22.26;62.55
10;22.28;62.57
10;22.29;62.57
11;22.29;62.56
11;22.29;62.60
12;22.29;62.60
13;22.28;62.60
13;22.26;62.61
14;22.28;62.59
14;22.29;62.60
15;22.28;62.56
15;22.28;62.59
16;22.29;62.54
16;22.30;62.54
17;22.29;62.52
17;22.28;62.54
18;22.28;62.49
19;22.28;62.46
19;22.29;62.45
20;22.32;62.44
20;22.26;62.44
21;22.29;62.43
21;22.28;62.40
22;22.26;62.40
22;22.26;62.37
23;22.26;62.33
23;22.28;62.35
24;22.26;62.32
24;22.28;62.35
25;22.28;62.31
26;22.29;62.29
26;22.28;62.28
27;22.28;62.32
27;22.26;62.28
28;22.28;62.28
28;22.26;62.29
29;22.26;62.31
29;22.28;62.39
30;22.29;62.42
30;22.29;62.44
31;22.29;62.49
32;22.30;62.57
32;22.29;62.63
33;22.26;62.69
33;22.29;62.78
34;22.26;62.75
34;22.28;62.75
35;22.29;62.77
35;22.29;62.73
36;22.28;62.72
36;22.28;62.70
37;22.26;62.67
38;22.26;62.68
38;22.28;62.63
39;22.26;62.61
39;22.26;62.56
40;22.26;62.55
40;22.23;62.50
41;22.24;62.47
41;22.21;62.44
42;22.23;62.42
42;22.23;62.38
43;22.23;62.37
43;22.23;62.34
44;22.20;62.34
45;22.23;62.33
45;22.21;62.33
46;22.20;62.31
46;22.21;62.36
47;22.20;62.54
47;22.24;62.67
48;22.19;62.76
48;22.21;62.79
49;22.21;62.81
49;22.20;62.77
50;22.20;62.74
51;22.24;62.73
51;22.23;62.73
52;22.23;62.71
52;22.21;62.74
53;22.24;62.77
53;22.24;62.78
54;22.23;62.81
54;22.23;62.81
55;22.24;62.84
55;22.23;62.78
56;22.24;62.80
57;22.24;62.78
57;22.24;62.78
58;22.26;62.77
58;22.26;62.79
59;22.26;62.77
59;22.26;62.73
60;22.24;62.71
60;22.23;62.66
61;22.26;62.61
61;22.26;62.60
62;22.24;62.60
62;22.26;62.56
63;22.24;62.56
64;22.24;62.55
64;22.24;62.54
65;22.26;62.51
65;22.26;62.49
66;22.28;62.49
66;22.26;62.52
67;22.29;62.51
67;22.24;62.50
68;22.26;62.56
68;22.29;62.62
69;22.28;62.64
70;22.28;62.69
70;22.29;62.69
71;22.29;62.66
71;22.30;62.70
72;22.28;62.67
72;22.28;62.63
73;22.28;62.63
73;22.26;62.59
74;22.28;62.59
74;22.28;62.55
75;22.26;62.52
76;22.28;62.49
76;22.26;62.48
77;22.28;62.46
77;22.26;62.47
78;22.28;62.45
78;22.26;62.43
79;22.28;62.46
79;22.29;62.53
80;22.28;62.56
80;22.26;62.52
81;22.29;62.49
82;22.30;62.46
82;22.29;62.46
83;22.24;62.38
83;22.28;62.40
84;22.28;62.38
84;22.26;62.38
85;22.26;62.39
85;22.26;62.34
86;22.28;62.34
86;22.26;62.39
87;22.28;62.43
87;22.26;62.44
88;22.28;62.45
89;22.28;62.46
89;22.26;62.47
90;22.28;62.42
90;22.26;62.47
91;22.28;62.44
91;22.26;62.47
92;22.28;62.49
92;22.28;62.52
93;22.29;62.56
93;22.26;62.61
94;22.29;62.66
95;22.24;62.75
95;22.26;62.75
96;22.26;62.76
96;22.24;62.70
97;22.26;62.66
97;22.26;62.61
98;22.26;62.58
98;22.24;62.56
99;22.26;62.53
99;22.26;62.47
100;22.26;62.49
101;22.26;62.51
101;22.24;62.55
102;22.26;62.56
102;22.24;62.62
103;22.24;62.62
103;22.26;62.61
104;22.24;62.57
104;22.26;62.55
105;22.26;62.54
105;22.26;62.52
106;22.28;62.49
106;22.23;62.51
107;22.28;62.49
108;22.26;62.49
108;22.24;62.50
109;22.26;62.50
109;22.26;62.47
110;22.28;62.44
110;22.50;62.47
111;23.63;63.17
111;24.28;65.78
112;24.65;69.21
113;24.89;72.40
113;25.15;75.30
114;25.39;77.73
114;25.56;79.79
115;25.73;81.50
115;25.87;82.97
116;26.04;84.22
116;26.15;85.24
117;26.26;86.14
117;26.38;86.87
118;26.49;87.48
119;26.59;88.05
119;26.68;88.49
120;26.76;88.86
120;26.82;89.21
124;27.01;90.39
124;26.90;90.52
125;26.51;90.59
125;26.25;90.01
126;26.11;88.92
127;26.21;88.18
127;26.51;88.14
128;26.64;88.44
128;26.75;88.72
129;26.82;88.88
129;26.87;89.01
130;26.93;89.08
130;26.93;89.11
131;27.01;89.11
131;27.07;89.10
132;27.08;89.11
133;27.13;89.10
133;27.17;89.04
134;27.23;89.08
134;27.27;89.07
135;27.33;89.01
135;27.38;88.95
136;27.42;88.95
136;27.50;88.93
137;27.55;88.88
137;27.58;88.83
138;27.40;88.75
139;27.08;88.47
139;26.89;87.39
140;26.69;85.82
140;26.52;84.07
141;26.35;82.29
141;26.15;80.36
142;25.92;78.33
142;25.71;76.14
143;25.53;74.20
143;25.36;72.49
144;25.27;71.14
145;25.15;69.97
145;25.08;68.77
146;24.98;67.72
146;24.92;66.87
147;24.86;66.29
147;24.76;65.85
148;24.72;65.35
148;24.67;64.91
149;24.58;64.56
150;24.55;64.11
150;24.54;63.58
151;24.48;63.04
151;24.44;62.54
152;24.40;62.03
152;24.38;61.63
153;24.35;61.37
153;24.31;61.20
154;24.31;61.08
154;24.27;60.97
155;24.27;60.83
156;24.24;60.66
156;24.18;60.54
157;24.16;60.41
157;24.17;60.29
158;24.13;60.14
158;24.11;60.01
159;24.09;59.89
159;24.04;59.82
160;24.01;59.64
160;24.01;59.51
161;24.00;59.34
162;23.94;59.20
162;23.96;59.05
163;23.94;58.93
163;23.92;58.84
164;23.89;58.80
166;23.83;58.72
167;23.80;58.69
167;23.79;58.69
